word,n
--,1
-40-=1120,1
-=5=—5=ae,1
-bör,1
-denena,1
-e,1
-edogöra,1
-eleverna,1
-en,1
-er,1
-förmånligare,1
-kurser,1
-lådor,1
-miljöer,1
-och,1
-oeh,1
-procenttalet,1
-skriftligt,1
-underlättar,1
-undvika,1
-x,1
-«,1
-—,5
000;,1
042?,1
0;25,1
0;6,1
0—1,2
0—10,3
0—100,2
0—100;,2
0—18,3
0—21,1
1-skolan,1
1000;,1
100;,1
101—21,1
10;,1
10—100,1
10—15,1
10—50,1
11-85-01],1
11—100,1
11—1—22,1
11—3,1
121;,1
13-tal,1
1380«,1
140205-kr,1
1500-talets,2
1567-138,1
15;,1
15x,1
15x2x,1
15—20,1
15—26,1
1600-talets,1
16;,2
1700-talets,2
1700-talsmusik,1
17;,1
17x,1
1800-,6
1800-talet,4
1800-talets,6
1800och,1
1800talet,1
180=26,1
18c,1
1900-talen,5
1900-talens,1
1900-talets,1
1900talens,1
1900talet,1
1],1
1j,1
1lävlingsform,1
1och,1
1—,3
1—10,10
1—100,5
1—100;,1
1—18,1
1—18;,3
1—2,3
1—21,1
1—241,1
1—3,1
1—318,1
1—4100,1
1—6,2
1—9,1
2-0,1
2-skolan,1
20;,1
20;1546,1
20—30,1
21—50,1
230—241,1
24;,2
26],1
2;,1
2=,2
2?,1
2ab,1
2b,1
2i,1
2s,2
2taktsprincipen,1
2tt22,1
2x,1
2x5,1
2—4,3
2—5,1
3-skolan,1
300;,1
300—500,1
30—45,1
323;,1
32?=56;6,1
3b,1
3—4,4
3—5,1
3—56,1
3—6,1
4--5,1
4-takts-,1
400;,1
400—600,1
40=40,1
4;,1
4=-21=2;,1
4=9,1
4b,1
4x,1
4—5,5
4—56,1
4—6,5
50;,1
51—100,1
5;,2
5b,1
5x,1
5—,1
5—10,1
5—56,4
5—6,3
5—9,1
62=8,1
6s,1
6x5öx,1
6—14,1
7-=3-=,1
71a,1
73a,1
7;,1
7x,1
8$,1
81a,1
82a,1
83a,1
86a,1
88a,1
900;,1
92»,1
9;,2
9e,4
9g,18
9h,12
9ha,10
9ht,13
9itp,1
9m,17
9pr,8
9s,12
9skog,1
9t,17
9tp,12
=,118
=-,1
=017;,1
=0bb!,1
=100,1
=1111-—23=,1
=42,2
=9,1
=;03,1
==,3
=?,1
=anvisningar,1
=b,1
=erfarenheter,1
=jläsning,1
=mätning,1
=praktiska,1
=remissabrev,1
=skyltningsövningar,1
=verkstadsarbete,1
=«,1
?,6
[3,2
[eee,1
[er,1
[et,1
[i,1
[kkk,1
[kkr,1
[lärare],1
[or],1
],1
a,320
a-,1
a-typ,6
a0,1
a1,1
a?,1
aatiks,1
ab,1
ablab,1
about,3
abraham,1
absolut,2
absoluta,3
abstrakt,6
abstrakta,10
abstraktionsförmåga,2
absurdum,1
acceleration,2
accentuering,1
acceptera,3
accepterar,2
accepteras,4
acer,1
acetylen,1
ackompanjemang,4
ackords-,1
ackordsberäkningar,1
ackumulatorer,1
ackusativ,3
adderas,2
addition,48
additioner,1
additions-,9
additionsserier,1
additionsserierna,1
adjekti-,1
adjektiv,14
adjektivböjning,1
adjektivböjningen,1
adjektiven,1
adläitjon!,1
administration,1
adoptiv-,1
adressaten,1
adresser,1
adressering,2
adresslappar,2
adressregister,1
advent,3
adverb,2
adverbets,1
ae,5
aes,1
affären,3
affärer,2
affärren,1
affärsbankernas,1
affärsbokföring,5
affärsbrev,1
affärsdisk,1
affärshandling,1
affärshandlingar,1
affärshändelser,6
affärshändelserna,2
affärskaraktär,1
affärskorrespondens,2
affärsliv,2
affärslivet,8
affärslokal,1
affärsmannen,2
affärsräkning,3
affärssituationer,1
affärsskrivelser,3
affärsspråket,1
affärstransaktion,3
affärsverksamheten,1
affärsvågens,1
afrika,5
afrikanska,2
aft,1
afton,1
aga,1
agera,1
aggregationsformerna,1
aggressiva,3
aggressivitet,5
aggressiviteten,1
aggressivt,1
ak,1
akademiens,7
akt,4
akta,5
akter,1
aktie-,1
aktier,3
aktiv,11
aktiva,15
aktivare,1
aktivera,18
aktiverar,2
aktiveras,6
aktivering,3
aktivitet,28
aktiviteten,6
aktivitetens,2
aktiviteter,3
aktivitetsbehov,3
aktivitetsbetonad,1
aktivitetsform,1
aktivitetsformer,1
aktivitetsfrämjande,1
aktivt,46
aktning,2
aktsamhet,8
aktsamt,2
aktualisera,5
aktualiserade,2
aktualiserar,1
aktualiseras,31
aktualiserats,2
aktualisering,1
aktualitet,2
aktualiteter,2
aktualiteterna,1
aktualitetssynpunkt,1
aktuell,19
aktuella,141
aktuellt,25
akustik,3
akustiken,1
akustiska,2
akvarell,1
akvarier,2
al,1
alarmanläggningar,1
aldrig,15
alexanderriket,1
